stim_idx,cluster_id
0,14
1,17
2,31
3,20
4,8
5,32
6,7
7,5
8,40
9,43
10,38
11,29
12,31
13,33
14,0
15,0
16,7
17,0
18,20
19,9
20,37
21,36
22,25
23,33
24,39
25,38
26,22
27,7
28,35
29,33
30,8
31,33
32,34
33,33
34,8
35,26
36,12
37,34
38,32
39,33
40,0
41,8
42,0
43,4
44,12
45,8
46,4
47,42
48,33
49,15
50,38
51,17
52,17
53,43
54,15
55,7
56,30
57,34
58,9
59,4
60,19
61,19
62,38
63,2
64,21
65,4
66,33
67,18
68,11
69,0
70,37
71,36
72,19
73,19
74,33
75,33
76,14
77,33
78,14
79,43
80,7
81,42
82,2
83,41
84,19
85,39
86,17
87,16
88,39
89,25
90,18
91,31
92,42
93,14
94,20
95,19
96,33
97,33
98,38
99,18
100,5
101,41
102,0
103,17
104,39
105,30
106,6
107,34
108,0
109,5
110,32
111,14
112,12
113,9
114,43
115,11
116,5
117,15
118,42
119,8
120,12
121,12
122,18
123,7
124,43
125,21
126,39
127,8
128,18
129,22
130,35
131,5
132,11
133,0
134,34
135,35
136,14
137,17
138,42
139,22
140,3
141,32
142,5
143,6
144,36
145,33
146,22
147,9
148,28
149,15
150,0
151,11
152,15
153,33
154,9
155,40
156,1
157,17
158,15
159,43
160,7
161,43
162,42
163,18
164,9
165,3
166,40
167,13
168,14
169,38
170,20
171,8
172,33
173,22
174,7
175,4
176,37
177,2
178,14
179,25
180,28
181,29
182,20
183,14
184,34
185,38
186,9
187,36
188,9
189,9
190,1
191,8
192,13
193,42
194,4
195,30
196,35
197,8
198,16
199,16
200,41
201,19
202,0
203,14
204,19
205,18
206,6
207,2
208,8
209,26
210,8
211,8
212,22
213,8
214,5
215,16
216,27
217,42
218,39
219,25
220,33
221,36
222,15
223,43
224,12
225,22
226,18
227,32
228,5
229,19
230,38
231,1
232,8
233,7
234,15
235,4
236,7
237,25
238,7
239,17
240,34
241,9
242,14
243,7
244,42
245,22
246,16
247,32
248,34
249,0
250,33
251,18
252,0
253,22
254,35
255,19
256,7
257,19
258,7
259,0
260,40
261,33
262,36
263,18
264,8
265,22
266,18
267,36
268,34
269,18
270,34
271,17
272,12
273,27
274,7
275,30
276,7
277,3
278,16
279,22
280,31
281,15
282,22
283,28
284,28
285,16
286,33
287,16
288,4
289,9
290,19
291,3
292,16
293,22
294,19
295,0
296,5
297,20
298,31
299,12
300,40
301,6
302,33
303,29
304,7
305,7
306,15
307,33
308,28
309,16
310,22
311,17
312,12
313,38
314,20
315,41
316,39
317,12
318,3
319,41
320,34
321,18
322,5
323,0
324,33
325,17
326,16
327,26
328,36
329,0
330,28
331,17
332,18
333,39
334,43
335,18
336,5
337,31
338,4
339,36
340,34
341,7
342,31
343,20
344,28
345,4
346,33
347,9
348,18
349,25
350,14
351,8
352,33
353,9
354,21
355,22
