stim_idx,cluster_id
0,8
1,17
2,35
3,12
4,35
5,11
6,3
7,28
8,0
9,11
10,3
11,21
12,43
13,41
14,14
15,33
16,24
17,14
18,3
19,30
20,38
21,26
22,10
23,19
24,2
25,33
26,23
27,2
28,41
29,41
30,4
31,13
32,3
33,41
34,28
35,0
36,3
37,27
38,36
39,41
40,39
41,23
42,42
43,12
44,35
45,42
46,3
47,34
48,0
49,23
50,11
51,14
52,24
53,7
54,29
55,42
56,2
57,26
58,40
59,15
60,5
61,26
62,39
63,16
64,30
65,42
66,42
67,31
68,21
69,34
70,27
71,26
72,22
73,43
74,16
75,3
76,17
77,22
78,22
79,35
80,42
81,3
82,26
83,30
84,40
85,3
86,24
87,11
88,5
89,27
90,29
91,18
92,41
93,3
94,23
95,22
96,35
97,41
98,26
99,41
100,11
101,15
102,9
103,23
104,2
105,26
106,1
107,9
108,3
109,32
110,36
111,22
112,28
113,36
114,18
115,12
116,16
117,3
118,8
119,39
120,3
121,24
122,3
123,35
124,11
125,36
126,17
127,13
128,34
129,28
130,16
131,41
132,7
133,9
134,22
135,8
136,22
137,22
138,22
139,9
140,22
141,11
142,2
143,16
144,29
145,41
146,39
147,20
148,20
149,27
150,8
151,30
152,17
153,16
154,18
155,0
156,21
157,16
158,34
159,3
160,3
161,43
162,41
163,3
164,7
165,2
166,19
167,36
168,41
169,35
170,28
171,0
172,42
173,24
174,42
175,30
176,4
177,20
178,0
179,16
180,3
181,30
182,13
183,0
184,19
185,0
186,7
187,32
188,7
189,3
190,6
191,29
192,12
193,29
194,18
195,23
196,38
197,3
198,42
199,19
200,40
201,18
202,0
203,3
204,18
205,15
206,15
207,33
208,42
209,43
210,4
211,3
212,9
213,39
214,16
215,22
216,20
217,34
218,8
219,2
220,41
221,1
222,27
223,18
224,20
225,42
226,13
227,39
228,3
229,39
230,31
231,10
232,0
233,33
234,22
235,40
236,42
237,39
238,31
239,24
240,0
241,43
242,22
243,27
244,2
245,9
246,30
247,40
248,8
249,9
250,5
251,8
252,19
253,35
254,27
255,20
256,3
257,13
258,9
259,43
260,0
261,13
262,11
263,3
264,35
265,9
266,16
267,43
268,40
269,20
270,22
271,24
272,0
273,20
274,14
275,14
276,7
277,27
278,1
279,8
280,8
281,17
282,41
283,22
284,36
285,3
286,10
287,31
288,12
289,20
290,18
291,27
292,7
293,15
294,42
295,27
296,15
297,3
298,43
299,15
300,16
301,19
302,22
303,12
304,0
305,13
306,0
307,19
308,43
309,11
310,29
311,17
312,27
313,10
314,1
315,3
316,19
317,5
318,8
319,1
320,42
321,14
322,39
323,13
324,23
325,17
326,2
327,13
328,7
329,1
330,39
331,0
332,33
333,11
334,12
335,24
336,11
337,19
338,20
339,32
340,9
341,28
342,39
343,16
